date,supplier_name,supplier_code,part_number,part_desc,lot_id,qty_received,qty_inspected,defects_found,defect_type,severity
2025-02-06,Cascade Pumps Inc.,S005,MN-2002,Manifold Block,LOT-250206-530,181,71,0,,
2025-02-06,Cascade Pumps Inc.,S005,QD-4004,Quick Disconnect - 1/4in,LOT-250206-730,208,87,1,Cosmetic,Critical
2025-02-06,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250206-411,172,89,1,Dimensional OOT,Major
2025-02-07,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250207-429,187,115,1,Contamination,Major
2025-02-07,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250207-584,198,88,2,Dimensional OOT,Minor
2025-02-07,Cascade Pumps Inc.,S005,MN-2002,Manifold Block,LOT-250207-774,201,102,0,,
2025-02-08,Cascade Pumps Inc.,S005,PM-5005,Pump Module,LOT-250208-779,190,70,0,,
2025-02-09,Boreal Quick Disconnects,S004,CP-1001,Coldplate - 100mm,LOT-250209-788,220,95,2,Contamination,Major
2025-02-09,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250209-147,177,102,2,Contamination,Minor
2025-02-09,Boreal Quick Disconnects,S004,QD-4004,Quick Disconnect - 1/4in,LOT-250209-566,181,100,1,Cosmetic,Major
2025-02-09,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250209-299,204,70,0,,
2025-02-09,Boreal Quick Disconnects,S004,QD-4004,Quick Disconnect - 1/4in,LOT-250209-771,191,42,4,Dimensional OOT,Minor
2025-02-10,Polar Precision Machining,S002,CP-1001,Coldplate - 100mm,LOT-250210-923,180,71,1,Contamination,Minor
2025-02-11,Cascade Pumps Inc.,S005,CP-1001,Coldplate - 100mm,LOT-250211-224,207,110,3,Dimensional OOT,Critical
2025-02-11,Boreal Quick Disconnects,S004,MN-2002,Manifold Block,LOT-250211-920,212,68,0,,
2025-02-11,ArcticManifold Ltd.,S001,PM-5005,Pump Module,LOT-250211-873,189,57,2,Documentation,Minor
2025-02-11,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250211-616,183,70,1,Cosmetic,Major
2025-02-11,Glacier Hose & Clamp,S003,PM-5005,Pump Module,LOT-250211-982,182,70,2,Dimensional OOT,Minor
2025-02-12,Glacier Hose & Clamp,S003,HS-3003,Hose Assembly - 3/8in,LOT-250212-869,211,42,0,,
2025-02-12,Cascade Pumps Inc.,S005,HS-3003,Hose Assembly - 3/8in,LOT-250212-741,226,82,1,Contamination,Minor
2025-02-12,Glacier Hose & Clamp,S003,HS-3003,Hose Assembly - 3/8in,LOT-250212-340,173,97,1,Dimensional OOT,Major
2025-02-12,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250212-241,213,75,2,Leak,Minor
2025-02-13,ArcticManifold Ltd.,S001,QD-4004,Quick Disconnect - 1/4in,LOT-250213-165,207,93,1,Cosmetic,Major
2025-02-13,ArcticManifold Ltd.,S001,QD-4004,Quick Disconnect - 1/4in,LOT-250213-438,214,69,0,,
2025-02-14,Boreal Quick Disconnects,S004,QD-4004,Quick Disconnect - 1/4in,LOT-250214-498,211,84,1,Leak,Major
2025-02-14,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250214-883,202,66,4,Documentation,Minor
2025-02-14,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250214-405,205,85,2,Dimensional OOT,Critical
2025-02-14,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250214-529,201,72,1,Contamination,Critical
2025-02-14,Glacier Hose & Clamp,S003,PM-5005,Pump Module,LOT-250214-599,189,81,2,Contamination,Major
2025-02-15,Boreal Quick Disconnects,S004,QD-4004,Quick Disconnect - 1/4in,LOT-250215-597,219,99,0,,
2025-02-15,Boreal Quick Disconnects,S004,QD-4004,Quick Disconnect - 1/4in,LOT-250215-514,188,93,4,Dimensional OOT,Major
2025-02-16,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250216-646,202,64,2,Documentation,Critical
2025-02-16,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250216-706,203,89,0,,
2025-02-17,Polar Precision Machining,S002,CP-1001,Coldplate - 100mm,LOT-250217-987,203,76,3,Leak,Minor
2025-02-17,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250217-316,227,87,3,Leak,Minor
2025-02-17,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250217-384,183,59,3,Dimensional OOT,Major
2025-02-17,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250217-119,227,65,4,Leak,Minor
2025-02-17,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250217-329,216,118,2,Leak,Critical
2025-02-18,Boreal Quick Disconnects,S004,CP-1001,Coldplate - 100mm,LOT-250218-872,170,64,0,,
2025-02-19,ArcticManifold Ltd.,S001,MN-2002,Manifold Block,LOT-250219-256,224,99,1,Leak,Minor
2025-02-20,Boreal Quick Disconnects,S004,QD-4004,Quick Disconnect - 1/4in,LOT-250220-323,188,76,1,Cosmetic,Minor
2025-02-20,Cascade Pumps Inc.,S005,HS-3003,Hose Assembly - 3/8in,LOT-250220-885,197,96,0,,
2025-02-21,Boreal Quick Disconnects,S004,PM-5005,Pump Module,LOT-250221-721,183,118,0,,
2025-02-21,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250221-418,211,78,1,Contamination,Minor
2025-02-21,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250221-793,203,76,3,Leak,Minor
2025-02-22,Boreal Quick Disconnects,S004,MN-2002,Manifold Block,LOT-250222-177,198,62,0,,
2025-02-22,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250222-204,195,63,0,,
2025-02-22,Cascade Pumps Inc.,S005,HS-3003,Hose Assembly - 3/8in,LOT-250222-223,184,78,1,Contamination,Major
2025-02-22,Boreal Quick Disconnects,S004,PM-5005,Pump Module,LOT-250222-538,188,72,2,Contamination,Minor
2025-02-23,Cascade Pumps Inc.,S005,PM-5005,Pump Module,LOT-250223-530,188,92,2,Cosmetic,Minor
2025-02-23,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250223-750,215,63,1,Leak,Critical
2025-02-23,Cascade Pumps Inc.,S005,QD-4004,Quick Disconnect - 1/4in,LOT-250223-851,221,54,4,Cosmetic,Minor
2025-02-24,Glacier Hose & Clamp,S003,HS-3003,Hose Assembly - 3/8in,LOT-250224-730,215,69,0,,
2025-02-24,Glacier Hose & Clamp,S003,PM-5005,Pump Module,LOT-250224-893,190,98,0,,
2025-02-24,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250224-374,212,79,4,Dimensional OOT,Major
2025-02-24,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250224-561,213,112,2,Contamination,Minor
2025-02-24,Boreal Quick Disconnects,S004,QD-4004,Quick Disconnect - 1/4in,LOT-250224-444,182,80,1,Dimensional OOT,Major
2025-02-25,Cascade Pumps Inc.,S005,HS-3003,Hose Assembly - 3/8in,LOT-250225-916,190,55,1,Leak,Minor
2025-02-26,Cascade Pumps Inc.,S005,HS-3003,Hose Assembly - 3/8in,LOT-250226-382,206,83,3,Contamination,Major
2025-02-26,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250226-347,207,77,2,Dimensional OOT,Minor
2025-02-26,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250226-600,201,87,0,,
2025-02-27,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250227-807,204,57,0,,
2025-02-27,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250227-401,209,65,4,Dimensional OOT,Minor
2025-02-27,Boreal Quick Disconnects,S004,QD-4004,Quick Disconnect - 1/4in,LOT-250227-808,228,89,0,,
2025-02-27,Boreal Quick Disconnects,S004,HS-3003,Hose Assembly - 3/8in,LOT-250227-779,200,97,0,,
2025-02-27,ArcticManifold Ltd.,S001,HS-3003,Hose Assembly - 3/8in,LOT-250227-535,175,109,2,Dimensional OOT,Minor
2025-02-28,Boreal Quick Disconnects,S004,HS-3003,Hose Assembly - 3/8in,LOT-250228-357,189,89,2,Cosmetic,Minor
2025-02-28,Cascade Pumps Inc.,S005,CP-1001,Coldplate - 100mm,LOT-250228-860,204,60,1,Cosmetic,Minor
2025-02-28,Polar Precision Machining,S002,MN-2002,Manifold Block,LOT-250228-383,219,88,3,Leak,Major
2025-02-28,Boreal Quick Disconnects,S004,PM-5005,Pump Module,LOT-250228-389,217,57,4,Documentation,Minor
2025-02-28,ArcticManifold Ltd.,S001,MN-2002,Manifold Block,LOT-250228-409,230,86,1,Leak,Minor
2025-03-01,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250301-155,203,86,4,Leak,Minor
2025-03-02,Cascade Pumps Inc.,S005,MN-2002,Manifold Block,LOT-250302-205,230,80,1,Cosmetic,Major
2025-03-02,Boreal Quick Disconnects,S004,CP-1001,Coldplate - 100mm,LOT-250302-687,215,58,0,,
2025-03-02,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250302-590,175,98,0,,
2025-03-02,Boreal Quick Disconnects,S004,HS-3003,Hose Assembly - 3/8in,LOT-250302-982,192,70,2,Leak,Minor
2025-03-02,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250302-175,220,81,5,Contamination,Minor
2025-03-03,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250303-255,194,72,0,,
2025-03-03,Glacier Hose & Clamp,S003,PM-5005,Pump Module,LOT-250303-354,212,103,1,Documentation,Minor
2025-03-03,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250303-882,180,64,0,,
2025-03-03,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250303-894,165,79,1,Cosmetic,Major
2025-03-03,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250303-980,207,77,2,Dimensional OOT,Minor
2025-03-04,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250304-857,230,63,5,Dimensional OOT,Minor
2025-03-04,Boreal Quick Disconnects,S004,MN-2002,Manifold Block,LOT-250304-740,206,56,0,,
2025-03-04,Cascade Pumps Inc.,S005,HS-3003,Hose Assembly - 3/8in,LOT-250304-776,188,70,0,,
2025-03-04,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250304-260,185,91,1,Leak,Minor
2025-03-04,Glacier Hose & Clamp,S003,QD-4004,Quick Disconnect - 1/4in,LOT-250304-561,214,83,0,,
2025-03-05,Boreal Quick Disconnects,S004,HS-3003,Hose Assembly - 3/8in,LOT-250305-133,203,74,0,,
2025-03-05,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250305-564,218,89,1,Cosmetic,Major
2025-03-05,Cascade Pumps Inc.,S005,MN-2002,Manifold Block,LOT-250305-740,196,93,1,Documentation,Major
2025-03-05,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250305-763,176,72,3,Dimensional OOT,Minor
2025-03-05,Polar Precision Machining,S002,HS-3003,Hose Assembly - 3/8in,LOT-250305-269,200,98,2,Contamination,Minor
2025-03-06,Cascade Pumps Inc.,S005,PM-5005,Pump Module,LOT-250306-579,207,88,2,Documentation,Minor
2025-03-06,Boreal Quick Disconnects,S004,HS-3003,Hose Assembly - 3/8in,LOT-250306-612,207,86,4,Cosmetic,Critical
2025-03-06,ArcticManifold Ltd.,S001,QD-4004,Quick Disconnect - 1/4in,LOT-250306-542,208,100,1,Dimensional OOT,Minor
2025-03-07,Glacier Hose & Clamp,S003,HS-3003,Hose Assembly - 3/8in,LOT-250307-790,219,74,1,Leak,Minor
2025-03-07,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250307-701,184,80,0,,
2025-03-07,Cascade Pumps Inc.,S005,CP-1001,Coldplate - 100mm,LOT-250307-375,191,80,1,Documentation,Major
2025-03-08,ArcticManifold Ltd.,S001,MN-2002,Manifold Block,LOT-250308-384,205,75,2,Dimensional OOT,Major
2025-03-08,Polar Precision Machining,S002,PM-5005,Pump Module,LOT-250308-193,202,98,2,Dimensional OOT,Major
2025-03-08,Boreal Quick Disconnects,S004,HS-3003,Hose Assembly - 3/8in,LOT-250308-207,179,73,1,Dimensional OOT,Minor
2025-03-08,ArcticManifold Ltd.,S001,MN-2002,Manifold Block,LOT-250308-395,209,52,2,Leak,Major
2025-03-08,ArcticManifold Ltd.,S001,QD-4004,Quick Disconnect - 1/4in,LOT-250308-565,211,103,3,Contamination,Minor
2025-03-09,Cascade Pumps Inc.,S005,HS-3003,Hose Assembly - 3/8in,LOT-250309-513,198,61,2,Leak,Critical
2025-03-10,ArcticManifold Ltd.,S001,CP-1001,Coldplate - 100mm,LOT-250310-523,208,83,1,Cosmetic,Minor
2025-03-10,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250310-610,183,78,2,Dimensional OOT,Major
2025-03-10,ArcticManifold Ltd.,S001,QD-4004,Quick Disconnect - 1/4in,LOT-250310-662,196,79,3,Contamination,Minor
2025-03-10,Boreal Quick Disconnects,S004,HS-3003,Hose Assembly - 3/8in,LOT-250310-224,188,81,1,Dimensional OOT,Major
2025-03-10,Cascade Pumps Inc.,S005,PM-5005,Pump Module,LOT-250310-418,218,85,3,Contamination,Major
2025-03-11,ArcticManifold Ltd.,S001,PM-5005,Pump Module,LOT-250311-517,216,65,0,,
2025-03-11,ArcticManifold Ltd.,S001,MN-2002,Manifold Block,LOT-250311-572,224,78,1,Documentation,Critical
2025-03-11,Boreal Quick Disconnects,S004,CP-1001,Coldplate - 100mm,LOT-250311-833,181,59,1,Cosmetic,Minor
2025-03-11,Boreal Quick Disconnects,S004,PM-5005,Pump Module,LOT-250311-594,172,92,1,Cosmetic,Minor
2025-03-11,Glacier Hose & Clamp,S003,MN-2002,Manifold Block,LOT-250311-295,198,77,1,Dimensional OOT,Minor
2025-03-12,ArcticManifold Ltd.,S001,MN-2002,Manifold Block,LOT-250312-908,204,91,3,Contamination,Minor
2025-03-12,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250312-373,179,116,3,Dimensional OOT,Major
2025-03-12,Glacier Hose & Clamp,S003,CP-1001,Coldplate - 100mm,LOT-250312-389,202,83,0,,
2025-03-12,Cascade Pumps Inc.,S005,HS-3003,Hose Assembly - 3/8in,LOT-250312-957,194,77,0,,
2025-03-12,Boreal Quick Disconnects,S004,PM-5005,Pump Module,LOT-250312-252,203,71,1,Documentation,Minor
2025-03-13,Polar Precision Machining,S002,QD-4004,Quick Disconnect - 1/4in,LOT-250313-656,179,107,4,Dimensional OOT,Minor
